ganador,titulo,year,nominaciones,puntuacion,votos,criticas,coproduccion,genero,feroz_drama,feroz_comedia,forque,cec
0,Handia,2018,13,6.5,12039,69,0,['Drama'],nominado,no_clasificado,nominado,nominado
0,El autor,2018,9,6.4,16735,115,1,['Drama'],nominado,no_clasificado,ganador,nominado
0,Verónica,2018,7,6.3,23257,203,0,['Terror'],nominado,no_clasificado,no_clasificado,no_clasificado
1,Campeones,2019,11,6.9,37958,222,0,"['Comedia', 'Drama']",no_clasificado,ganador,ganador,nominado
0,Carmen y Lola,2019,8,6.8,10963,74,0,"['Drama', 'Romance']",nominado,no_clasificado,nominado,no_clasificado
0,El Reino,2019,13,7.3,31564,218,1,"['Thriller', 'Intriga', 'Drama']",ganador,no_clasificado,nominado,ganador
0,Entre dos aguas,2019,2,6.6,2869,30,0,['Drama'],no_clasificado,no_clasificado,nominado,no_clasificado
0,Todos lo saben,2019,8,6.5,18108,149,1,"['Thriller', 'Drama']",nominado,no_clasificado,no_clasificado,nominado
1,Dolor y gloria,2020,16,6.8,32211,293,0,['Drama'],ganador,no_clasificado,nominado,ganador
0,Intemperie,2020,5,6.8,8162,66,1,"['Drama', 'Thriller', 'Western']",no_clasificado,no_clasificado,no_clasificado,nominado
0,Lo que arde,2020,4,6.8,11111,69,1,['Drama'],nominado,no_clasificado,nominado,no_clasificado
0,La trinchera infinita,2020,15,7.3,23685,137,1,['Drama'],nominado,no_clasificado,ganador,nominado
0,Mientras dure la guerra,2020,17,6.8,27141,220,0,['Drama'],no_clasificado,no_clasificado,nominado,nominado
1,Las niñas,2021,9,6.2,12794,148,0,['Drama'],ganador,no_clasificado,ganador,nominado
0,Adú,2021,13,6.2,10668,63,0,['Drama'],no_clasificado,no_clasificado,nominado,nominado
0,Ane,2021,5,5.8,3755,37,0,['Drama'],nominado,no_clasificado,no_clasificado,no_clasificado
0,La boda de Rosa,2021,8,6.1,8671,77,0,"['Comedia', 'Drama']",no_clasificado,ganador,nominado,ganador
0,Sentimental,2021,5,6.4,8878,54,0,['Comedia'],no_clasificado,nominado,no_clasificado,no_clasificado
1,El buen patrón,2022,20,7.1,27622,189,0,"['Comedia', 'Drama']",no_clasificado,ganador,ganador,nominado
0,Libertad,2022,6,6.5,3193,40,1,['Drama'],nominado,no_clasificado,no_clasificado,nominado
0,Madres paralelas,2022,8,5.8,17278,194,0,['Drama'],nominado,no_clasificado,nominado,no_clasificado
0,Maixabel,2022,14,7.2,16859,103,0,['Drama'],ganador,no_clasificado,nominado,nominado
0,Mediterráneo,2022,7,6.0,3702,38,1,['Drama'],no_clasificado,no_clasificado,nominado,no_clasificado
1,As bestas,2023,17,7.6,38818,254,1,"['Thriller', 'Drama']",ganador,no_clasificado,no_clasificado,ganador
0,Alcarràs,2023,11,6.7,14281,130,1,['Drama'],nominado,no_clasificado,no_clasificado,no_clasificado
0,Cinco lobitos,2023,11,7.1,19033,124,0,['Drama'],nominado,no_clasificado,no_clasificado,nominado
0,La maternal,2023,3,6.8,3753,34,0,['Drama'],no_clasificado,no_clasificado,no_clasificado,no_clasificado
0,Modelo 77,2023,16,6.9,17645,70,0,"['Drama', 'Thriller']",nominado,no_clasificado,no_clasificado,nominado
1,La sociedad de la nieve,2024,13,7.6,38026,275,1,"['Drama', 'Aventuras']",nominado,no_clasificado,nominado,ganador
0,20.000 especies de abejas,2024,15,7.0,10786,79,0,['Drama'],ganador,no_clasificado,ganador,nominado
0,Cerrar los ojos,2024,11,6.8,6435,86,1,['Drama'],nominado,no_clasificado,nominado,nominado
0,Saben aquell,2024,11,7.0,9913,72,0,['Drama'],no_clasificado,no_clasificado,no_clasificado,no_clasificado
0,Un amor,2024,7,6.5,5675,64,0,"['Drama', 'Romance']",nominado,no_clasificado,no_clasificado,no_clasificado
